name,type,stage_focus,typical_check_or_award,geography,why_fit,url,verified_on,notes
AgFunder,agtech-vc,"Seed to Series B, broad agrifood and climate tech",,"Global (HQ San Francisco, invests worldwide)","AgFunder tracks agrifood infrastructure deals and has backed sensor and data plays comparable to a Raspberry Pi based environmental node for indoor mushroom and CEA growers.",https://agfunder.com/invest/,2026-08-31,"Fund IV mandate is broad frontier agrifood tech, not CEA-specific; confirm current check-size appetite before applying."
Anterra Capital,agtech-vc,"Seed, Series A (incubation onward)","$1,000,000 to $10,000,000 initial check (stated on the fund's own site)","Global (Netherlands and US, invests worldwide)","Anterra's thesis centers on digital and data infrastructure across the agrifood value chain, matching the sensor-plus-Cloudflare-relay architecture behind Crowe Sense.",https://anterracapital.com/,2026-09-01,"Stated initial check is well above a $150k-$250k raise; likely only fits as a small add-on or a future round, not this raise."
Astanor Ventures,agtech-vc,Seed through growth,,"Global (Europe-based, invests worldwide including US)","Astanor explicitly funds controlled environment agriculture and impact-native agrifood founders, a direct thesis match for an indoor-growing sensing platform.",https://astanor.com/,2026-08-31,"Third-party trackers report average seed rounds near $5M-$6M; confirm appetite for a much smaller pre-seed check."
iSelect Fund,agtech-vc,"Seed, Series A, crop health and sensing",,"US (St. Louis, MO; primarily North America)","iSelect's stated mission of funding sensor-based farm management tools and its indoor-farming portfolio company Artemis show current interest in exactly the CO2/VOC/climate sensing hardware Crowe Sense builds.",https://www.iselectfund.com/agtech/,2026-08-31,"Typically co-invests alongside a lead rather than leading rounds; plan to pair the pitch with another investor."
Ospraie Ag Science,agtech-vc,"Seed through growth, controlled environment agriculture named as a backed theme",,"US and Israel, invests globally","Ospraie explicitly names controlled environment agriculture as a backed theme, making Crowe Sense's CEA sensing node a direct thesis match.",https://www.crunchbase.com/organization/ospraie-ag-sciences,2026-08-31,"Recent named deals (AgroSpheres, Beagle Technology) skew later-stage and larger ($9M-$37M); confirm seed-check appetite before pitching."
Middleland Capital,agtech-vc,"Seed, Series A (recent language skews toward de-risked, early-revenue companies)",,"US (Washington, DC)","Middleland's portfolio already includes precision-ag sensing hardware (EarthOptics), showing comfort underwriting physical agricultural sensing plays like Crowe Sense.",https://www.middlelandcapital.com/,2026-08-31,"Own site now emphasizes early-revenue, de-risked technology; verify appetite for a pre-revenue company before applying."
Acre Venture Partners,agtech-vc,Seed through Series B,,"US (Santa Monica, CA)","Acre's current fund already holds an indoor-farming software company (Source) and ag-robotics hardware bets, placing a hardware-plus-software CEA sensing platform inside their thesis.",https://www.acre.vc/,2026-08-31,"Third-party trackers report average seed rounds near $5M-$6M; confirm they will consider a smaller pre-seed check."
Better Food Ventures,agtech-vc,"Seed, Series A, digital/software-first (deliberately avoids hardware-intensive deals)",,"US (Menlo Park, CA)","Better Food Ventures backs the software side of food and ag systems, so a pitch should lead with the Cloudflare relay, apps and CLI rather than the physical sensor hardware.",https://www.agtechnavigator.com/Article/2026/02/16/better-food-ventures-silicon-valleys-playbook-can-work-for-ag/,2026-09-01,"Confirmed via Feb 2026 profile: firm explicitly tries to avoid anything too hardware-intensive; deprioritize unless framed as a software/data company."
Radicle Growth,agtech-vc,"Early-stage seed, challenge and accelerator model (Digital Ag track)",verify,"US (San Diego, CA)","Radicle's challenge-based sourcing model (2025 AgRogue Growth Partners with Land O'Lakes) is built to surface sensor-and-data farm technology like Crowe Sense.",https://www.radicle.vc/,2026-08-31,"Operates more as a challenge/accelerator platform than a direct-check VC; a cited per-company figure could not be confirmed against a primary source, marked verify."
SVG Ventures THRIVE,agtech-vc,"Early-stage accelerator plus Global Impact Challenge","Up to $1,000,000 for Global Impact Challenge finalists (stated by the fund)","Global (Los Gatos, CA HQ)","THRIVE's recent portfolio includes storage-monitoring sensor company Cellar Insights (Jan 2026), and its Global Impact Challenge funds early agrifood hardware and software at Crowe Sense's exact stage.",https://svgventures.com/,2026-08-31,"The $1M figure applies to challenge finalists only, not a standard check; confirm current Global Impact Challenge cycle dates."
